id,movieName,movieImage,movieLink,create_at,updated_at,mostViewed
004b7ff5-eb5c-4eed-94e6-03fc59ce9f0c,زعيم الغابة,https://i.imgur.com/OtoOcMm.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/the_jungle_king.mp4,2024-08-22 00:12:11.323529+00,2024-08-22 00:12:11.323529+00,false
004c0235-b609-40d8-b623-b357384325a3,بينوكيو,https://i.imgur.com/hfHVdSo.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/pinocchio.mp4,2024-08-22 20:24:25.836733+00,2024-08-22 20:24:25.836733+00,false
004c63fb-1a9f-45a6-bce3-add879a98d4d,طرزان وجين,https://i.imgur.com/gdsn2f1.jpeg,"https://zidwish.site/e/xnt0pu5osmvp ",2024-08-31 09:51:17.23417+00,2024-08-31 09:51:17.23417+00,false
004dc09c-6008-4e8f-ab65-2b6dd2f80d18,المحقق كونان الفيلم الثاني,https://i.imgur.com/7RJL9mv.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/conan_film_02.mp4,2024-08-30 17:55:21.088431+00,2024-08-30 17:55:21.088431+00,false
00519054-beb4-4df6-9f01-c200ea8f4fb8,سيارات الجزء 2,https://i.imgur.com/am9DA4s.png,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/cars_2.mp4,2024-08-21 19:13:27.208841+00,2024-08-21 19:13:27.208841+00,true
0056ed19-d6f0-42ad-802d-263f733c521e,الحياة السرية للحيوانات الأليفة الجزء 2,https://i.imgur.com/qs9YsQD.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/the_secret_life_of_pets_s2.mp4,2024-08-22 00:20:13.270773+00,2024-08-22 00:20:13.270773+00,false
00577eb2-da93-4c5d-8cc4-bf57fc6a2a2b,ميكي وبطوط وبندق,https://i.imgur.com/nfiADQv.jpeg,https://zidwish.site/e/hpwiw3d96lxj,2024-08-31 15:18:50.551293+00,2024-08-31 15:18:50.551293+00,false
005ae9d2-1637-4e3a-9e80-4ce4a50cd52c,تنين الأماني,https://i.imgur.com/bXjnq3W.jpeg,https://zidwish.site/e/vryp97916u6b,2024-09-01 11:48:04.267742+00,2024-09-01 11:48:04.267742+00,false
005f4ee7-e7de-43e0-a575-3bfc3fc03b8a,طائرات حرائق وإنقاذ,https://i.imgur.com/87U0zc5.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/planes_fire_and_rescue.mp4,2024-08-22 20:36:38.524414+00,2024-08-22 20:36:38.524414+00,false
005fe29e-b4ff-4046-8382-a9fe5ece5df6,الحياة السرية للحيوانات الأليفة الجزء 1,https://i.imgur.com/aRv9x1r.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/the_secret_life_of_pets.mp4,2024-08-21 20:37:18.12286+00,2024-08-21 20:37:18.12286+00,false
00628945-e520-46c8-a8ac-68e5b67e964c,لوراكس,https://i.imgur.com/CuEUlR3.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/the_lorax.mp4,2024-08-21 11:36:13.034993+00,2024-08-21 11:36:13.034993+00,false
0065db73-862c-4ce8-aa11-23413d3cfecc,فروج القله,https://i.imgur.com/6racKai.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/chicken_little.mp4,2024-08-22 21:36:55.422435+00,2024-08-22 21:36:55.422435+00,false
00699fc7-dcdd-4cb2-8da4-ee2a12237745,سبونج بوب يلوذ بالفرار,https://i.imgur.com/NqpicsI.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/spongebob_2020.mp4,2024-08-21 16:56:20.083574+00,2024-08-21 16:56:20.083574+00,true
006f1648-6bf2-40dd-be1e-f19e715286e7,المغامرة النمورية,https://i.imgur.com/OTNobFu.jpeg,https://uqload.ws/embed-057whpclfn7b.html,2024-08-31 09:56:06.358702+00,2024-08-31 09:56:06.358702+00,false
007180ad-0b33-4e27-95d3-7f378f98af5d,رابونزل 1,https://i.imgur.com/f2wnjiP.png,https://zidwish.site/e/2r1zscj9ahbv,2024-08-16 18:19:08.381584+00,2024-08-16 18:19:08.381584+00,true
007724b5-4403-4260-994c-85d2bf570bc6,الأسد وزهرة الإوز,https://i.imgur.com/EnExqla.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/lion_of_oz.mp4,2024-08-21 20:33:19.100898+00,2024-08-21 20:33:19.100898+00,false
00794e0f-bdfb-4da1-b676-6adc98c8af5a,فاليانت,https://i.imgur.com/LFb1FaA.jpeg,https://ds2play.com/e/cyo86ctjlwop,2024-09-01 10:08:35.440792+00,2024-09-01 10:08:35.440792+00,false
007a0957-291f-4379-903c-0da3b8d4e7da,أليس في بلاد العجائب,https://i.imgur.com/dA4EWkw.jpeg,https://zidwish.site/e/ditvfv092z3l,2024-08-31 16:46:26.612744+00,2024-08-31 16:46:26.612744+00,true
007d763b-edd7-4e45-9f5c-1d71cfe310c3,الطريق إلى كأس الشتاء,https://i.imgur.com/uPZpOmh.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/kurokos_basketball_m_01.mp4,2024-08-21 11:02:42.664741+00,2024-08-21 11:02:42.664741+00,false
007d8b6f-fc7c-4408-ad59-7381555ea071,ديسبيكبل مي الجزء 3,https://i.imgur.com/KUNE7pn.jpeg,https://zidwish.site/e/fb5yrhb7pi60,2024-08-21 11:17:45.201444+00,2024-08-21 11:17:45.201444+00,true
0083bfa4-b5a6-4997-9c36-3063b743d272,مغامرة اولاف فروزن,https://i.imgur.com/uNlgjV0.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/olafs_frozen_adventure.mp4,2024-08-22 00:07:37.322+00,2024-08-22 00:07:37.322+00,false
0086d46c-de13-40aa-8337-9822c11711cc,طائرات: مهمة الإنقاذ,https://i.imgur.com/PTXpiFe.jpeg,https://ds2play.com/e/kzebx4csnr64,2024-08-31 17:36:12.456884+00,2024-08-31 17:36:12.456884+00,true
008861cf-ec42-4db0-98ae-c55476f0489f,صراع الجبابرة,https://i.imgur.com/APtUVWr.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/sira3_aljababirah.mp4,2024-08-22 00:31:18.919503+00,2024-08-22 00:31:18.919503+00,false
0088948f-2220-4501-a76c-d9bb8e888970,فتى المطرقة,https://i.imgur.com/M1oODLe.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/fta_alm6r8h.mp4,2024-08-22 20:13:53.563108+00,2024-08-22 20:13:53.563108+00,false
008b30cf-4fee-4ba9-a558-7821d3c685ae,إجازة مع تيمون وبومبا,https://i.imgur.com/Nlbdwll.png,https://ok.ru/videoembed/2062807665298,2024-08-31 09:39:12.139399+00,2024-08-31 09:39:12.139399+00,false
008d5609-030b-45bf-8e30-f36981d9f120,حكاية لعبة 3,https://i.imgur.com/PO0Yd3U.jpeg,https://zidwish.site/e/jg6xaafw887d,2024-08-31 15:22:43.740988+00,2024-08-31 15:22:43.740988+00,false
0095094e-1efd-440c-9a01-ad972d4ba564,مولان الجزء 2,https://i.imgur.com/bcMXnqu.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/mulan_s2.mp4,2024-08-22 20:11:29.451553+00,2024-08-22 20:11:29.451553+00,false
009529c1-3b5b-45e5-b487-5b5668b57f49,أخي الدب الجزء 2,https://i.imgur.com/B39th6S.jpeg,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/brother_bear_2.mp4,2024-08-21 20:25:02.37243+00,2024-08-21 20:25:02.37243+00,true
0097c625-5238-4559-bf64-48c459878c74,الوطن,https://i.imgur.com/wtV09PP.jpeg,https://zidwish.site/e/bet4tffizpti,2024-09-01 12:04:34.722112+00,2024-09-01 12:04:34.722112+00,false
00982301-0ac7-4abb-98d9-20c233a5554c,عالم ميراكيولوس: الدعسوقة في نيويورك,https://i.imgur.com/jTSy6U6.jpeg,https://zidwish.site/e/991qql2q68bj,2024-08-31 17:31:06.708422+00,2024-08-31 17:31:06.708422+00,false
009d7a57-e96f-497d-a3f5-7a0732992085,الجميلة و الوحش,https://i.imgur.com/2Yr8PBB.jpeg,https://zidwish.site/e/9lj36odh1o2e,2024-08-31 17:17:32.599265+00,2024-08-31 17:17:32.599265+00,true
009d9838-93dd-415e-8034-fb803762dfcd,فوق,https://i.imgur.com/91GQkcZ.png,https://cdn.arteenz.com/75441e2b95254493ab02a4e94d7710e9:arteenz/001/0movies/up.mp4,2024-08-21 20:17:25.655606+00,2024-08-21 20:17:25.655606+00,false
