id,seriesName,seriesImage,created_at,updated_at,planetName,mostViewed,old_cartoon
895c79a4-7ec2-4b89-a363-d3f85ad0d097,من أجل البقاء,https://i.imgur.com/qAaXMgv.png,2024-09-13 19:43:36.508961+00,2024-09-13 19:43:36.508961+00,زمردة,false,false
89a6d8a4-a595-4658-9a01-dad533d46b03,سندباد بحار من بلاد العرب,https://i.imgur.com/QpKXis4.jpeg,2024-09-01 14:06:25.187813+00,2024-09-01 14:06:25.187813+00,مغامرات,false,false
89e5a2c5-c83d-4864-aa25-67f73d45252a,تاو تاو,https://i.imgur.com/V6no1KO.png,2024-09-04 12:44:38.280883+00,2024-09-04 12:44:38.280883+00,مغامرات,false,false
8ac086c6-11a9-44ff-9eb0-a3d4214a04a7,الفتى استرو الجزء 2,https://i.imgur.com/mb2XpXX.jpeg,2024-09-13 19:55:47.920786+00,2024-09-13 19:55:47.920786+00,الصيصان,false,false
8afcaf9b-45f6-45a1-bec5-1f7a6fbb6a9b,ساكورا,https://i.imgur.com/G8pG4Wg.jpeg,2024-08-27 17:40:47.910439+00,2024-08-27 17:40:47.910439+00,زمردة,true,false
8b398390-638e-48fc-97ad-cf57a7bd5973,بيل وسبستيان,https://i.imgur.com/13IPhg9.png,2024-09-16 15:59:55.972394+00,2024-09-16 15:59:55.972394+00,مغامرات,false,false
8c586cb4-d9b1-422e-ac7b-a4a1ed953813,بن 10 اومنيفرس الجزء 2,https://i.imgur.com/draOKfh.jpeg,2024-09-02 12:49:46.400074+00,2024-09-02 12:49:46.400074+00,مغامرات,false,false
8cd0f904-7a16-44ad-bbc6-1a391b4417c5,كاليميرو و فاليريانو,https://i.imgur.com/fHMiOC2.jpeg,2024-09-16 16:41:57.647999+00,2024-09-16 16:41:57.647999+00,زمردة,true,false
8cd5cd2b-e9b3-4c23-afd8-e389309fab1d,صائدو التنين,https://i.imgur.com/NJWnRT1.jpeg,2024-08-25 20:29:03.091721+00,2024-08-25 20:29:03.091721+00,الصيصان,false,false
8d19e7b3-492e-46f1-8eed-a06fe88b63ef,الأقزام,https://i.imgur.com/KZ4efL0.jpeg,2024-09-04 17:48:56.94582+00,2024-09-04 17:48:56.94582+00,مغامرات,true,false
8d2a9a89-0c3f-42f0-9224-05508cc95f0c,تيمون وبومبا الجزء 2,https://i.imgur.com/lxot8QQ.jpeg,2024-09-06 12:29:41.497077+00,2024-09-06 12:29:41.497077+00,مغامرات,true,false
8d6643b2-f7f3-4106-9b5d-9d2bac6e1018,نبيل وهديل,https://i.imgur.com/jjTDSou.png,2024-08-27 15:58:11.345152+00,2024-08-27 15:58:11.345152+00,الصيصان,false,false
8d987e5d-8a0b-4425-988c-362df9f9d563,جاكي شان الموسم 2,https://i.imgur.com/SXRdIsG.png,2024-09-15 14:02:45.828517+00,2024-09-15 14:02:45.828517+00,رياضة,false,false
8db87c46-58ef-4428-9e2e-fdee7477b6a3,حول العالم مع سبع المدهش,https://i.imgur.com/nFFXg0Y.png,2024-09-13 08:46:29.146121+00,2024-09-13 08:46:29.146121+00,مغامرات,true,false
