id,seriesName,spisodeName,episodeImage,episodeLink,created_at,updated_at,Unnamed: 4
10133,English Cartoon,Car Wash DANGER! - What Trap? - Cartoon Cars for Kids!,https://i.ytimg.com/vi/7gYUQsXmi_8/maxresdefault.jpg,https://www.youtube.com/watch?v=7gYUQsXmi_8,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+31
10134,English Cartoon,Where's Red Car? - BAD NEWS! - Cartoon Cars for Kids!,https://i.ytimg.com/vi/kIwPP9znLdA/maxresdefault.jpg,https://www.youtube.com/watch?v=kIwPP9znLdA,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+32
10135,English Cartoon,MAIL THIEF - How do we catch one? - Cartoon Cars for Kids!,https://i.ytimg.com/vi/BaZUsYs1cWc/maxresdefault.jpg,https://www.youtube.com/watch?v=BaZUsYs1cWc,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+33
10136,English Cartoon,DON'T JUMP! - Will He Live? - Cartoon Cars - Cartoons for Kids!,https://i.ytimg.com/vi/_6ehvqLZzds/maxresdefault.jpg,https://www.youtube.com/watch?v=_6ehvqLZzds,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+34
10137,English Cartoon,TWISTY TRACK! - Christmas Snow Machines! - Cartoon Cars for kids!,https://i.ytimg.com/vi/Ff-MIWuRqn0/maxresdefault.jpg,https://www.youtube.com/watch?v=Ff-MIWuRqn0,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+35
10138,English Cartoon,TRAIN CRASH! - What did Bad Car do? - Cartoon Cars for Kids!,https://i.ytimg.com/vi/3c8v_t-eiMc/maxresdefault.jpg,https://www.youtube.com/watch?v=3c8v_t-eiMc,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+36
10139,English Cartoon,CATCH the CARS! - What did they steal?? - Cartoon Cars - Cartoon Cars for Kids!,https://i.ytimg.com/vi/ZM_Gj5x8s5U/maxresdefault.jpg,https://www.youtube.com/watch?v=ZM_Gj5x8s5U,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+37
10140,English Cartoon,Cartoon Cars - COLORS CHALLENGE! - Cartoons for Kids!,https://i.ytimg.com/vi/XKO5QRQ-j7Q/maxresdefault.jpg,https://www.youtube.com/watch?v=XKO5QRQ-j7Q,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+38
10141,English Cartoon,Box of Toys - BIG TRANSPORTER? - Cartoon Cars - Cartoons for Kids!,https://i.ytimg.com/vi/qa_UJLG4qlI/maxresdefault.jpg,https://www.youtube.com/watch?v=qa_UJLG4qlI,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+39
10142,English Cartoon,STRONGEST CAR? - Car POWER with Cartoon Cars for Kids!,https://i.ytimg.com/vi/We3gkDGTs0A/maxresdefault.jpg,https://www.youtube.com/watch?v=We3gkDGTs0A,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+40
